name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.6518341108610526,1.61
2_DecisionTree,Decision Tree,logloss,0.7452522836546419,14.68
3_Linear,Linear,logloss,0.7295566572106733,5.14
4_Default_Xgboost,Xgboost,logloss,0.6725619813161237,5.75
5_Default_NeuralNetwork,Neural Network,logloss,1.1347040681095824,2.55
6_Default_RandomForest,Random Forest,logloss,0.6426381065156619,7.02
Ensemble,Ensemble,logloss,0.6377388525636712,0.65
